"","Spanish","French","German","Italian","Polish","Chinese","Filipino, Tagalog","Japanese","Greek","American Indian (all)","Portuguese","Korean","Other or not reported","Hindi and related","Yiddish, Jewish","Arabic","Vietnamese","Czech","Serbo-Croatian, Yugoslavian, Slavonian","Magyar, Hungarian","Russian","Dutch","Norwegian","Persian, Iranian, Farsi","Slovak","Armenian","Swedish","Hebrew, Israeli","Thai, Siamese, Lao","Finnish","Lithuanian","Ukrainian, Ruthenian, Little Russian","Sub-Saharan Africa","Micronesian, Polynesian","Dravidian","Danish","Turkish","Celtic","Rumanian","Slovene","Other Malayan","Indonesian","Albanian","Amharic, Ethiopian, etc","Hawaiian","Tibetan","Other Balto-Slavic","Near East Arabic dialect","Other East/Southeast Asian","Icelandic","African, n.s","Hamitic","Burmese, Lisu, Lolo","Basque","Other Altaic","Romany, Gypsy","Other Persian dialects","Kurukh","Uralic","Caucasian, Georgian, Avar","Burushaski","English","N/A or blank"
"Alabama",18400,8800,11800,800,0,1200,0,1600,800,600,0,1000,4600,2800,400,1000,1600,0,400,0,0,1600,0,1000,200,0,200,0,400,0,200,0,400,0,400,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska",3600,800,2400,200,0,0,800,1800,0,29200,200,1400,200,400,0,200,0,0,0,600,1600,400,1200,0,0,0,200,0,600,0,0,0,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arizona",344800,12600,14000,6400,3000,4000,1400,2200,2000,108200,1600,3200,2000,2000,1400,1600,200,400,2800,1400,400,1600,1200,400,0,200,1000,0,400,800,1000,600,0,200,0,200,600,0,0,0,0,200,0,200,0,0,0,0,0,0,200,0,0,0,0,0,0,0,200,0,0,0,0
"Arkansas",12000,5200,6200,1000,600,400,600,600,600,800,0,800,4000,0,0,1600,800,400,200,400,600,800,0,800,400,0,200,0,0,0,200,0,400,0,0,0,400,200,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
"California",3248800,104200,175800,137800,22400,272400,214400,122600,40800,10600,77800,87800,34000,46600,27800,42800,67000,9600,16200,21400,30400,39000,9800,32200,1200,57800,11400,16800,23800,5800,7200,7000,5600,24200,3000,11400,3800,1600,3000,1200,6600,2400,200,1200,1400,1600,1000,3400,3200,1000,200,1200,2600,1600,400,400,200,1400,2400,0,0,0,0
"Colorado",181600,11600,28800,5600,3000,3400,1800,4400,2800,1800,800,2600,2800,400,800,3600,1600,1800,3000,2000,1600,1000,1200,1400,400,200,600,1200,1000,400,600,800,1400,400,800,200,0,0,0,200,0,0,0,200,200,0,0,0,0,0,0,200,0,0,0,0,0,0,400,0,0,0,0
"Connecticut",117800,65800,21800,95400,39200,3200,1000,1200,13200,1200,19000,1800,5200,2400,3600,1400,2000,2000,1600,8200,1800,4400,1400,1600,3200,200,2800,3000,400,2000,6600,3400,600,200,400,1800,0,800,1200,600,800,400,1000,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delaware",13400,2800,1200,5200,3600,0,800,200,1200,200,1000,0,200,1200,400,200,200,0,0,0,0,0,0,0,0,0,0,400,0,0,0,1400,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"District of Columbia",17400,8000,2200,1000,400,1000,800,600,800,0,0,200,1400,0,200,200,600,800,0,0,200,0,200,400,0,0,0,400,0,0,400,0,600,0,0,200,0,200,0,0,0,0,200,800,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0
"Florida",818600,80400,63000,63400,20200,10200,8000,2400,14800,3600,6400,6000,20200,4200,39000,5400,5400,3400,3600,12800,3600,4400,1600,3800,4200,2400,6400,4800,4000,4000,2200,1800,1000,200,400,1800,1000,1400,800,400,0,200,0,0,0,0,0,200,800,400,0,600,0,0,0,0,0,0,200,0,0,0,0
