"","Spanish","French","German","Italian","Polish","Chinese","Filipino, Tagalog","Japanese","Greek","American Indian (all)","Portuguese","Korean","Other or not reported","Hindi and related","Yiddish, Jewish","Arabic","Vietnamese","Czech","Serbo-Croatian, Yugoslavian, Slavonian","Magyar, Hungarian","Russian","Dutch","Norwegian","Persian, Iranian, Farsi","Slovak","Armenian","Swedish","Hebrew, Israeli","Thai, Siamese, Lao","Finnish","Lithuanian","Ukrainian, Ruthenian, Little Russian","Sub-Saharan Africa","Micronesian, Polynesian","Dravidian","Danish","Turkish","Celtic","Rumanian","Slovene","Other Malayan","Indonesian","Albanian","Amharic, Ethiopian, etc","Hawaiian","Tibetan","Other Balto-Slavic","Near East Arabic dialect","Other East/Southeast Asian","Icelandic","African, n.s","Hamitic","Burmese, Lisu, Lolo","Basque","Other Altaic","Romany, Gypsy","Other Persian dialects","Kurukh","Uralic","Caucasian, Georgian, Avar","Burushaski","English","N/A or blank"
"Alabama",13200,5800,7400,400,0,400,0,1000,600,600,0,800,1000,1800,200,1000,800,0,200,0,0,800,0,600,200,0,200,0,400,0,200,0,400,0,200,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska",3200,600,1800,200,0,0,600,1600,0,20200,200,1200,0,400,0,200,0,0,0,400,600,400,0,0,0,0,0,0,600,0,0,0,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arizona",198400,8200,9800,3600,2400,2000,400,2000,1400,58200,1000,1800,1400,1400,1000,1200,0,0,800,1200,200,800,600,200,0,200,600,0,200,600,1000,200,0,200,0,0,400,0,0,0,0,200,0,200,0,0,0,0,0,0,200,0,0,0,0,0,0,0,200,0,0,0,0
"Arkansas",7600,3600,4000,1000,200,200,400,600,400,400,0,600,2600,0,0,1000,800,200,0,200,0,400,0,800,200,0,200,0,0,0,200,0,400,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
"California",1701400,70400,96200,81000,13400,156000,149600,84000,24000,8000,44800,57000,19200,30000,13600,28400,37200,5200,9200,9200,12600,19400,5000,23000,800,35800,6400,10400,14400,4200,1800,2400,3800,16000,3000,5200,2600,400,2200,200,3800,1400,200,1200,1400,800,400,2200,2000,1000,200,1000,2000,1600,400,400,0,800,400,0,0,0,0
"Colorado",134800,7800,15800,4400,1400,2000,800,2600,1800,1200,600,2400,2000,400,200,3000,1400,1600,1600,1000,600,1000,800,1200,400,200,400,1000,200,200,200,400,800,400,400,200,0,0,0,200,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Connecticut",64400,42400,10000,57400,26800,1400,800,1000,7400,800,12200,1200,2600,1800,2000,600,1000,1200,1000,5200,1400,3000,600,1600,1800,0,1800,1200,400,400,3200,1200,200,200,200,800,0,400,200,400,400,400,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delaware",7400,2200,800,3800,2400,0,800,200,800,200,200,0,0,600,400,200,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"District of Columbia",12800,5200,1400,800,200,1000,800,400,800,0,0,0,1200,0,200,200,600,0,0,0,200,0,200,400,0,0,0,200,0,0,0,0,600,0,0,0,0,200,0,0,0,0,0,800,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0
"Florida",440000,49400,32000,43600,14600,7400,6400,1400,7400,2600,3600,4800,12000,3200,19600,4200,2400,1800,2600,6200,1200,2800,800,2200,2400,2400,2800,2000,2400,2600,1600,1000,800,200,400,400,800,800,400,400,0,200,0,0,0,0,0,200,400,0,0,400,0,0,0,0,0,0,0,0,0,0,0
