"","Spanish","French","German","Italian","Polish","Chinese","Filipino, Tagalog","Japanese","Greek","American Indian (all)","Portuguese","Korean","Other or not reported","Hindi and related","Yiddish, Jewish","Arabic","Vietnamese","Czech","Serbo-Croatian, Yugoslavian, Slavonian","Magyar, Hungarian","Russian","Dutch","Norwegian","Persian, Iranian, Farsi","Slovak","Armenian","Swedish","Hebrew, Israeli","Thai, Siamese, Lao","Finnish","Lithuanian","Ukrainian, Ruthenian, Little Russian","Sub-Saharan Africa","Micronesian, Polynesian","Dravidian","Danish","Turkish","Celtic","Rumanian","Slovene","Other Malayan","Indonesian","Albanian","Amharic, Ethiopian, etc","Hawaiian","Tibetan","Other Balto-Slavic","Near East Arabic dialect","Other East/Southeast Asian","Icelandic","African, n.s","Hamitic","Burmese, Lisu, Lolo","Basque","Other Altaic","Romany, Gypsy","Other Persian dialects","Kurukh","Uralic","Caucasian, Georgian, Avar","Burushaski","English","N/A or blank"
"1",1600,400,1600,0,0,0,0,0,0,200,0,0,0,0,0,400,600,0,0,0,0,200,0,400,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",600,600,800,0,0,0,0,0,0,0,0,0,0,200,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",400,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2800,800,600,0,0,0,0,0,200,0,0,400,600,400,0,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",7800,4000,4400,400,0,200,0,1000,400,400,0,200,400,1200,200,200,200,0,200,0,0,600,0,200,0,0,0,0,200,0,200,0,200,0,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2400,200,400,0,0,0,0,0,0,28600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",20800,400,800,0,0,0,200,0,0,1400,200,400,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",11800,800,1600,200,200,0,0,200,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",4200,800,800,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",17400,400,200,200,200,0,0,0,0,5400,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",47600,1400,1800,800,200,2000,0,0,200,6600,200,400,200,400,800,400,0,0,0,600,0,0,400,0,0,0,400,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
"12",94200,4200,4200,2400,1800,0,200,1800,1200,6200,600,1000,1000,1000,200,800,0,0,800,400,0,800,0,200,0,200,200,0,200,200,800,200,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
"13",200,0,0,0,0,200,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",200,200,200,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",600,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",200,0,600,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1000,1400,200,600,0,0,0,0,0,0,0,0,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",600,800,1000,0,0,0,0,400,400,400,0,0,200,0,0,0,600,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,200,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1000,200,400,0,0,0,0,0,0,0,0,200,200,0,0,0,200,0,0,200,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",3800,800,1400,400,200,0,400,200,0,0,0,0,800,0,0,1000,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,400,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
"22",1600,600,0,0,0,0,0,0,0,400,400,0,200,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
"23",16400,600,1000,400,200,1000,1800,200,200,0,600,400,400,0,0,600,600,0,0,200,0,0,0,200,0,0,200,0,0,0,0,0,0,200,0,0,0,0,0,0,200,0,0,0,0,600,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",40600,1800,2000,600,600,1800,1400,2000,600,0,0,0,200,0,0,200,200,0,0,200,200,800,400,600,0,200,0,0,0,200,0,400,0,600,0,200,400,0,0,0,0,200,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",102600,3000,6200,4400,1200,3600,23400,3600,1800,1000,2400,400,2000,1600,800,2000,2800,800,400,400,400,1600,400,2200,0,0,1000,0,1000,200,0,400,0,2400,0,200,0,0,1000,0,0,0,0,0,200,0,0,0,400,200,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",59000,600,2400,400,200,1400,600,2400,400,200,1600,0,400,600,0,400,0,0,200,200,0,600,0,0,0,3800,0,0,400,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",41600,1400,2600,1200,200,1200,3000,1600,600,200,2200,2200,1400,0,0,0,800,0,0,0,0,0,0,400,0,0,0,400,200,0,0,0,0,800,0,200,600,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",7400,800,600,200,200,1000,400,1800,400,0,1200,0,0,0,200,200,0,0,0,0,0,800,200,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",23600,1800,3400,4800,0,7200,10400,1200,2200,0,400,1600,1000,2200,0,2600,0,200,0,400,1000,600,0,0,0,1800,200,400,0,0,200,0,200,800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0
"30",35800,3800,3000,6800,200,34600,16600,3800,2000,200,400,2000,600,2000,800,1200,1600,0,800,200,600,0,200,1400,0,2200,200,600,400,0,0,0,600,600,0,200,0,0,0,0,200,0,200,0,200,0,200,400,0,0,0,0,400,200,0,0,0,800,0,0,0,0,0
"31",43600,4000,5400,3000,1000,17600,10200,2600,1400,400,4800,800,600,2800,400,1200,1200,0,200,0,0,400,600,1400,0,400,600,400,800,400,200,0,0,1200,0,200,200,0,0,0,0,200,0,0,200,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
"32",3800,200,400,0,200,200,400,200,0,0,0,0,0,1000,0,200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0
"33",3800,1000,2800,1800,200,400,400,0,200,200,200,0,0,0,400,0,400,0,400,0,0,0,600,400,0,200,200,0,200,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",5400,1400,2400,4000,0,0,0,1000,0,0,1200,0,200,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",8600,800,800,1800,200,400,4200,1200,400,800,1200,200,0,800,0,400,0,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,0,1400,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",6200,400,1000,200,0,200,0,0,0,200,600,200,0,1200,0,800,200,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",18600,2200,2400,2800,200,5800,4800,1600,1000,0,2000,2000,600,400,200,200,200,200,200,200,0,200,0,400,0,0,600,200,0,600,400,0,600,0,0,200,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,200,0,0,0,0,0,0,0,0,0
"38",92200,6000,7000,6200,600,12200,8800,3600,600,400,6400,3400,1800,3800,0,1800,6800,1000,2400,400,200,2200,400,1200,0,0,200,400,400,200,0,400,400,2000,1000,200,200,200,0,200,400,0,0,0,0,200,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",20200,400,4200,2000,0,1800,2800,1600,1000,200,1800,400,400,800,0,200,200,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,200,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0
"40",25400,1200,2800,2800,800,3800,1600,4200,1400,600,1800,400,1200,0,200,0,200,0,200,200,400,200,0,0,0,0,0,0,800,0,0,0,0,200,0,400,0,0,0,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0
"41",10200,1200,3200,1600,400,0,400,600,800,0,800,200,400,1200,200,0,0,0,0,0,200,0,200,200,0,200,0,0,400,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0
"42",2000,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",61000,400,2400,1200,600,1200,2400,800,0,200,600,800,400,0,0,200,1000,0,0,200,0,0,0,0,0,0,200,200,600,600,0,0,0,600,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",61400,1600,4000,2600,400,1200,1000,400,1000,0,400,200,0,400,0,1000,400,400,200,600,0,1600,0,0,0,0,0,0,1200,200,200,200,0,0,0,200,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0
"45",106600,7600,10000,4800,600,6000,3400,7200,1400,400,600,4400,600,1400,0,3600,9000,0,600,400,600,3000,400,1600,200,400,600,0,200,0,0,400,400,800,400,0,200,200,400,0,1600,0,0,0,200,0,0,600,400,0,0,0,0,200,0,0,0,0,0,0,0,0,0
"46",465400,13200,13000,16200,2800,30000,26000,19600,3000,1400,2200,17000,3400,4800,3400,4600,6400,600,1000,2400,4800,5400,600,4400,400,7200,1000,1800,4000,800,800,400,800,3400,1000,1200,200,0,0,0,400,0,0,800,200,0,0,200,0,0,0,200,0,400,0,200,0,0,200,0,0,0,0
"47",338400,12600,8800,7400,2400,22000,23200,21800,2800,1200,1000,19400,2600,3600,7000,6200,4600,1400,2400,2800,4200,1000,400,7000,200,19200,400,5600,3600,800,0,200,600,800,0,200,200,0,800,0,400,400,0,400,200,0,200,0,400,200,0,0,0,0,400,200,0,0,0,0,0,0,0
"48",3200,0,600,200,0,200,0,0,0,0,800,600,0,0,0,0,0,0,200,0,0,0,200,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",2600,600,600,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",30600,0,800,1200,0,0,200,0,0,0,2000,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",5000,200,400,200,0,200,0,200,0,0,0,0,0,0,0,0,0,200,0,200,0,200,400,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",10000,200,200,800,0,0,200,200,0,0,4000,0,200,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",13000,200,800,600,0,400,400,0,800,0,3200,200,400,1000,0,0,200,0,0,0,0,200,0,1200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",14400,800,3800,800,200,0,600,0,0,0,0,600,0,0,0,200,600,200,0,200,0,200,0,400,200,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
